epoch;loss;mae;mse;rmse;val_loss;val_mae;val_mse;val_rmse
0;0.0123960692435503;0.06995147466659546;0.0123960692435503;0.11133763939142227;0.0006444939062930644;0.014016064815223217;0.0006444939062930644;0.025386884808540344
1;0.0014198652934283018;0.027002425864338875;0.0014198652934283018;0.03768109902739525;0.000326724024489522;0.01251504011452198;0.000326724024489522;0.01807550899684429
2;0.0007017129682935774;0.018658213317394257;0.0007017129682935774;0.02648986503481865;0.0002313825534656644;0.010106272995471954;0.0002313825534656644;0.015211263671517372
3;0.00045854251948185265;0.014718207530677319;0.00045854251948185265;0.02141360566020012;0.00018592136621009558;0.008684378117322922;0.00018592136621009558;0.013635298237204552
4;0.00035008721170015633;0.012484518811106682;0.00035008721170015633;0.01871061697602272;0.00015202116628643125;0.007964403368532658;0.00015202116628643125;0.012329686433076859
5;0.00028813915560021996;0.01113914605230093;0.00028813915560021996;0.016974661499261856;0.00014013548207003623;0.007400413043797016;0.00014013548207003623;0.011837882921099663
6;0.00023882364621385932;0.01011505164206028;0.00023882364621385932;0.015453919768333435;0.00011983140575466678;0.0072249118238687515;0.00011983140575466678;0.010946753434836864
7;0.00021314296463970095;0.009489980526268482;0.00021314296463970095;0.01459941640496254;0.00011022843682439998;0.006906510796397924;0.00011022843682439998;0.010498972609639168
8;0.00019451601838227361;0.00900072231888771;0.00019451601838227361;0.013946900144219398;0.00012788940512109548;0.006885376293212175;0.00012788940512109548;0.011308819055557251
9;0.00018120420281775296;0.008644215762615204;0.00018120420281775296;0.013461210764944553;0.00010177338117500767;0.006664888001978397;0.00010177338117500767;0.010088278912007809
10;0.00017343054059892893;0.00840118806809187;0.00017343054059892893;0.013169302605092525;9.511583630228415e-05;0.006542320363223553;9.511583630228415e-05;0.009752734564244747
11;0.00016546549159102142;0.0082037802785635;0.00016546549159102142;0.0128633389249444;0.00013185810530558228;0.0070100221782922745;0.00013185810530558228;0.011482948437333107
12;0.00015472770610358566;0.007925531826913357;0.00015472770610358566;0.012438958510756493;0.00011706642544595525;0.006753955502063036;0.00011706642544595525;0.010819723829627037
13;0.00014603683666791767;0.0077207027934491634;0.00014603683666791767;0.012084569782018661;0.00010129877045983449;0.006446974352002144;0.00010129877045983449;0.010064728558063507
14;0.0001503773673903197;0.007641862146556377;0.0001503773673903197;0.012262845411896706;9.072935790754855e-05;0.006324972491711378;9.072935790754855e-05;0.009525195695459843
